author,booktype,file,genres,isbn,title,year
https://www.goodreads.com/author/show/153394.Suzanne_Collins,books.book,files/1_2767052-the-hunger-games.html,/genres/young-adult|/genres/fiction|/genres/science-fiction|/genres/dystopia|/genres/fantasy|/genres/science-fiction|/genres/romance|/genres/adventure|/genres/young-adult|/genres/teen|/genres/apocalyptic|/genres/post-apocalyptic|/genres/action,9780439023481,"The Hunger Games (The Hunger Games, #1)",2008
https://www.goodreads.com/author/show/1077326.J_K_Rowling,books.book,files/1_2.Harry_Potter_and_the_Order_of_the_Phoenix.html,/genres/fantasy|/genres/young-adult|/genres/fiction|/genres/fantasy|/genres/magic|/genres/childrens|/genres/adventure|/genres/audiobook|/genres/childrens|/genres/middle-grade|/genres/classics|/genres/science-fiction-fantasy,9780439358071,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2003
https://www.goodreads.com/author/show/1825.Harper_Lee,books.book,files/1_2657.To_Kill_a_Mockingbird.html,/genres/classics|/genres/fiction|/genres/historical|/genres/historical-fiction|/genres/academic|/genres/school|/genres/literature|/genres/young-adult|/genres/historical|/genres/novels|/genres/academic|/genres/read-for-school|/genres/young-adult|/genres/high-school,null,To Kill a Mockingbird,1960
https://www.goodreads.com/author/show/1265.Jane_Austen,books.book,files/1_1885.Pride_and_Prejudice.html,/genres/classics|/genres/fiction|/genres/romance|/genres/historical|/genres/historical-fiction|/genres/literature|/genres/historical|/genres/novels|/genres/romance|/genres/historical-romance|/genres/classics|/genres/classic-literature|/genres/adult,null,Pride and Prejudice,1813
https://www.goodreads.com/author/show/941441.Stephenie_Meyer,books.book,files/1_41865.Twilight.html,/genres/young-adult|/genres/fantasy|/genres/romance|/genres/paranormal|/genres/vampires|/genres/fiction|/genres/fantasy|/genres/paranormal|/genres/romance|/genres/paranormal-romance|/genres/fantasy|/genres/supernatural|/genres/young-adult|/genres/teen|/genres/fantasy|/genres/urban-fantasy,9780316015844,"Twilight (Twilight, #1)",2005
https://www.goodreads.com/author/show/1624.Herman_Melville,books.book,files/2_153747.Moby_Dick_or_the_Whale.html,/genres/classics|/genres/fiction|/genres/literature|/genres/adventure|/genres/novels|/genres/historical|/genres/historical-fiction|/genres/literature|/genres/american|/genres/literature|/genres/19th-century|/genres/classics|/genres/classic-literature|/genres/unfinished,9780142437247,"Moby-Dick or, the Whale",1851
https://www.goodreads.com/author/show/626222.Anita_Diamant,books.book,files/2_4989.The_Red_Tent.html,/genres/historical|/genres/historical-fiction|/genres/fiction|/genres/historical|/genres/religion|/genres/book-club|/genres/feminism|/genres/adult|/genres/adult-fiction|/genres/womens|/genres/novels,9780312353766,The Red Tent,1997
https://www.goodreads.com/author/show/1077326.J_K_Rowling,books.book,files/2_6.Harry_Potter_and_the_Goblet_of_Fire.html,/genres/fantasy|/genres/young-adult|/genres/fiction|/genres/fantasy|/genres/magic|/genres/childrens|/genres/adventure|/genres/childrens|/genres/middle-grade|/genres/audiobook|/genres/classics|/genres/science-fiction-fantasy,null,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",2000
https://www.goodreads.com/author/show/4711.Sue_Monk_Kidd,books.book,files/2_37435.The_Secret_Life_of_Bees.html,/genres/fiction|/genres/historical|/genres/historical-fiction|/genres/young-adult|/genres/classics|/genres/adult-fiction|/genres/historical|/genres/contemporary|/genres/adult|/genres/young-adult|/genres/coming-of-age|/genres/womens-fiction|/genres/chick-lit,9780142001745,The Secret Life of Bees,2001
https://www.goodreads.com/author/show/150038.Cassandra_Clare,books.book,files/2_7171637-clockwork-angel.html,/genres/fantasy|/genres/young-adult|/genres/fantasy|/genres/paranormal|/genres/romance|/genres/science-fiction|/genres/steampunk|/genres/historical|/genres/historical-fiction|/genres/fiction|/genres/fantasy|/genres/urban-fantasy|/genres/paranormal|/genres/vampires|/genres/paranormal|/genres/angels,9781416975861,"Clockwork Angel (The Infernal Devices, #1)",2010
